2001-2005 WLD,,,2001-2005 CHN,,,2001-2005 USA,,,2006-2010 WLD,,,2006-2010 CHN,,,2006-2010 USA,,,2011-2015 WLD,,,2011-2015 CHN,,,2011-2015 USA,,
product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity
8439,8452,0.817676925,7742,5914,0.681218781,8443,8442,0.762594086,8421,8431,0.796144222,8434,8424,0.759769642,411,913,0.8,8441,8451,0.80036432,112,11,0.8,8462,8459,0.781103583
8463,8462,0.817593944,7281,7361,0.676410256,8459,8439,0.759691156,8451,8441,0.788662998,8459,8462,0.759239851,3414,3223,0.8,8439,8434,0.796953272,8433,8439,0.794820105,8423,8439,0.778945432
8462,8463,0.817593944,7361,7281,0.676410256,8439,8459,0.759691156,8441,8451,0.788662998,8462,8459,0.759239851,913,3414,0.8,8434,8439,0.796953272,8439,8433,0.794820105,8439,8423,0.778945432
8433,8452,0.816208462,7283,7449,0.674166667,8462,8423,0.758249697,8439,8462,0.785425467,8743,7721,0.757876906,2518,2512,0.8,8441,8423,0.793834868,8452,8433,0.792279412,8451,8462,0.777237671
8452,8433,0.816208462,7449,7283,0.674166667,8423,8462,0.758249697,8462,8439,0.785425467,7721,8743,0.757876906,2518,913,0.8,8423,8441,0.793834868,8433,8452,0.792279412,8462,8451,0.777237671
8441,8439,0.813986157,7492,7449,0.670416237,8439,8434,0.757443403,8463,8459,0.784104405,8434,8433,0.756354895,913,2518,0.8,8434,8424,0.793358207,8434,8452,0.78899841,8423,8441,0.767480799
8439,8441,0.813986157,7449,7492,0.670416237,8434,8439,0.757443403,8459,8463,0.784104405,8433,8434,0.756354895,3223,3414,0.8,8424,8434,0.793358207,8452,8434,0.78899841,8441,8423,0.767480799
8439,8424,0.810461806,5139,7272,0.66981241,8441,8452,0.756857143,8441,8459,0.783869115,112,4113,0.75,411,3414,0.8,8421,8424,0.790925578,8431,8439,0.78834727,913,2518,0.766666667
8424,8439,0.810461806,7272,5139,0.66981241,8452,8441,0.756857143,8459,8441,0.783869115,4113,112,0.75,3414,913,0.8,8424,8421,0.790925578,8439,8431,0.78834727,6411,913,0.766666667
8459,8423,0.809832547,7449,8996,0.669509804,8434,8435,0.755501346,8462,8452,0.779571298,8459,8463,0.748629509,8459,8463,0.791368511,8439,8459,0.790142664,8462,8463,0.787925697,2518,913,0.766666667
8423,8459,0.809832547,8996,7449,0.669509804,8435,8434,0.755501346,8452,8462,0.779571298,8463,8459,0.748629509,8463,8459,0.791368511,8459,8439,0.790142664,8463,8462,0.787925697,3223,6411,0.766666667
8462,8439,0.809352471,7283,7272,0.669206349,8451,8452,0.753442313,8434,8452,0.77875153,7431,7493,0.747058824,8423,8451,0.784726151,8434,8435,0.789238186,8463,8451,0.784872183,3223,2518,0.766666667
8439,8462,0.809352471,7272,7283,0.669206349,8452,8451,0.753442313,8452,8434,0.77875153,7493,7431,0.747058824,8451,8423,0.784726151,8435,8434,0.789238186,8451,8463,0.784872183,913,6411,0.766666667
8462,8452,0.809031958,7764,7599,0.668787879,8433,8434,0.752738388,8462,8451,0.775329468,8423,8434,0.746718829,8439,8423,0.782575758,8462,8423,0.788622343,8424,8431,0.783957642,2518,3223,0.766666667
8452,8462,0.809031958,7599,7764,0.668787879,8434,8433,0.752738388,8451,8462,0.775329468,8434,8423,0.746718829,8423,8439,0.782575758,8423,8462,0.788622343,8431,8424,0.783957642,541,3223,0.766666667
